experiment_name,0.02,0.03,0.04,0.05,0.1
round1,57,79,116,164,964
round1,181,269,372,464,910
round1,2106,2865,3497,4083,6344
round1,413,500,574,629,916
round1,1232,1702,2163,2617,4463
round1,2549,3156,3671,4116,5659
round1,395,480,557,636,971
round1,2932,3680,4300,4816,6591
round1,100,169,240,311,878
gat_v47,2831,3598,4186,4741,6640
gat_v47,2827,3594,4181,4735,6630
gat_v61,2894,3621,4212,4693,6460
log_v269,369,565,766,937,2006
log_v275,777,1143,1505,1872,3521
exp_v278,1254,1691,2045,2391,3918
exp_v280,1375,1938,2773,3535,6066
exp_v279,3326,4214,4876,5442,7211
exp_v284,2671,3444,4128,4692,6612
exp_v286,2925,3723,4413,5011,6962
exp_v287,3009,3853,4531,5099,7083
exp_v291,4025,4681,5222,5696,7256
exp_v292,4162,4746,5181,5552,7102
exp_v293,3932,4510,5016,5439,6992
power_v300,2925,3751,4331,4865,6697
power_v301,2877,3657,4361,4920,6812
power_v304,3633,4252,4783,5238,6811
power_v305,3520,4224,4758,5258,6949
power_v306,4242,4892,5404,5819,7276
power_v308,4013,4645,5160,5604,7111
power_v310,2281,3074,3755,4348,6400
power_v311,3933,4550,5094,5563,7032
power_v321,3840,4497,5030,5487,7125
power_v325,3199,3849,4402,4912,6603
power_v326,4039,4691,5177,5612,7245
new_exp_v334,2227,2943,3600,4197,6166
new_exp_v335,3252,4099,4717,5297,7099
new_exp_v336,3898,4519,5006,5452,6992
new_exp_v341,4622,5251,5724,6113,7456
new_exp_v343,3191,4018,4729,5275,7096
new_exp_v344,2884,3646,4260,4795,6732
new_exp_v345,3162,3964,4606,5172,7086
new_exp_v342,3864,4471,4926,5355,6817
new_exp_v346,3962,4621,5128,5544,7176
new_exp_v356,4564,5123,5585,6043,7461
new_exp_v361,4678,5322,5834,6205,7489
new_exp_v362,4133,4801,5311,5729,7212
new_exp_v363,3180,3980,4647,5190,7060
new_exp_v364,3065,3932,4629,5255,7172
